gene_id,gene_short_name,HIO_0,HIO_1,HIO_2,HuSI_Duo_A_0,HuSI_Duo_A_1,HuSI_Dist_A_0,HuSI_Dist_A_1,HuSI_Dist_A_2,HuSI_Dist_A_3,HuSI_F_0,HuSI_F_1,HuSI_F_2,HuSI_F_3,HuSI_F_4,HuSI_F_5
MIR650,MIR650,0,0,0,417469,395017,207619,1356260,238180,135483,0,0,0,0,10.6702,0
MIR5047,MIR5047,1315.74,1318.79,1412.82,218288,310817,196277,530914,119527,96720.9,4434.89,2054.97,2267.72,2154.72,1780.21,1733.02
SNORD55,SNORD55,335.887,166.412,293.413,0,221206,0,0,0,54794.3,0,426.755,291.883,272.979,302.156,328.806
MIR4461,MIR4461,276891,224989,324515,519268,73735.2,220654,1097040,115595,109589,2262.25,150164,424481,324367,355154,289934
SNORD87,SNORD87,781.39,845.153,413.932,48573.5,67237.4,49626.7,0,105402,0,245.801,333.959,261.045,427.242,243.209,392.09
SNORD33,SNORD33,109.67,254.223,149.413,29659,49684.6,28821.2,0,77890.4,0,188.511,66.6063,26.6489,21.3027,56.5912,91.2335
MIR1260B,MIR1260B,0,0,69.0047,0,39201,0,0,61455.3,0,110.148,126.306,118.475,145.428,114.469,173.007
MIR3918,MIR3918,0,70.7347,138.575,0,33801.6,0,0,0,0,113.722,21.289,16.6409,0,12.0586,43.7407
SNORD125,SNORD125,180.539,0,0,0,30385.9,0,0,0,0,3.11018,0,0,0,53.351,0
MIR1282,MIR1282,1275.04,781.221,955.768,28480.9,22201.2,8976.81,20698.9,10898.2,16451.5,530.796,4275.57,3796.98,4834.51,4694.15,3783.83
DEFA5,DEFA5,2.53198,3.31574,1.80955,10788.2,17439.2,22865,21201.7,19294,23713.3,10.8797,0,40.4805,0,51.7549,5.78627
DEFA6,DEFA6,0.624848,0.769219,1.03335,5330.29,9314.57,12620.8,11490.5,10215.6,12684.7,6.36195,0,41.1049,0,35.5459,2.5867
REG3A,REG3A,24.7097,20.9461,12.0031,5146.35,6780.03,7450.19,7894.14,7148.44,7938.48,0.833657,0,0.308869,0,0.636606,0.316945
TPT1,TPT1,5507.2,5799.01,5422.27,3922.84,5378.09,5005.26,4139.09,5241.13,4312.33,0,0,0,0,0,0
B2M,B2M,2082.3,2158.25,2510.55,5295.79,5316.85,4738.02,7579.86,6274.19,7105.21,800.821,601.809,966.352,584.533,1735.03,923.276
REG1A,REG1A,0.430422,0.624059,2.48279,9864.32,5227.03,4250.67,5945.07,2128.43,5691.32,0.402535,0,2.5399,0,4.9802,0.523619
FABP1,FABP1,1740.68,1975.28,4144.1,4442.59,5129.85,4901.97,5822.93,3656.17,3918.4,792.357,1205.76,385.063,1659.93,544.668,837.294
IGJ,IGJ,1.61098,1.99673,0.367611,5451.4,4494.79,6235.15,2149.52,3221.05,2714.5,0.374621,0.127913,0.674901,0.204553,0.525285,0.350416
RPL41,RPL41,6160.91,6473.41,6372.06,3562.88,4475.1,4365.25,3629.4,3764.05,3752.04,3721.75,4246.45,4179.83,4059.39,5820.05,4272.68
RBP2,RBP2,37.4529,39.6623,93.6647,2302.91,3819.33,3541.12,2198.41,551.724,2031.29,763.915,62.4527,1586.12,49.3512,2194.58,872.582
RPS27,RPS27,4532.58,4690.65,4006.41,2615.49,3786.74,3836.1,3180.43,3410.23,2932.55,3198.32,3502.52,3587.47,3323.05,4742.72,3532.97
EEF1A1,EEF1A1,0,0,0,2397.1,3519.59,3597.84,2627.19,2948.12,2839.26,0,0,0,0,0,0
RPS29,RPS29,5067.03,5069.93,3969.52,2592.2,3310.13,2963.34,2448.75,2323.17,2057.52,2312.45,3136.64,2455.55,3046.41,3159.24,2477.82
PIGR,PIGR,1.09273,0.925561,4.77025,2744.94,3156.9,1688.08,597.679,366.472,893.562,1.77518,1.21746,15.1597,0.945424,26.9776,2.46572
ALDOB,ALDOB,62.1767,63.2418,330.318,2283.66,3004.1,5283.04,2177.33,4233.43,3435.22,498.385,125.078,169.265,70.8945,208.728,134.328
RPLP1,RPLP1,3526.27,3250.46,2515.62,2481.5,2884.24,3085.06,2021.45,2142.12,1682.41,2301.16,2089.51,2298.66,2057.65,2824.72,2085.51
FTL,FTL,2321.05,2241.94,1932.37,2696.38,2880.34,3335.57,2632.86,3796.02,2478.66,0,0,0,0,0,0
RPS18,RPS18,3214.15,3868.48,3672.39,1989.52,2799.2,2720.16,2329.28,2353.89,2239.24,2309.69,3072.63,3289.99,3170.13,3710.12,3198.03
IGLL5,IGLL5,1.71713,2.52452,0.370929,3807.87,2629.82,1954.07,1143.58,1508.27,1049.07,0.306856,0.183334,0.450395,0.288476,0.445054,0.466372
RPL13AP5,RPL13AP5,3446.91,3080.79,2462.66,1957.52,2621.74,2446.65,1700.03,1810.74,1683.87,2298.71,1595.29,1782.15,1733.28,2451.42,1643.08
ANPEP,ANPEP,27.7055,27.5043,153.572,2724.9,2589.26,2816.26,1129.67,2350.05,2162.64,985.454,691.982,504.825,311.663,783.151,571.001
RPS12,RPS12,3432.08,3498.91,2439.22,1861.86,2406.54,1849.27,1784.88,1658.4,1696.07,1876.91,2019.64,2183.67,1947.64,2587.92,1979.01
RPS6,RPS6,3543.28,3763.65,2892.23,1674.28,2341.16,2181.86,1647.11,1796.48,1724.83,1902.23,2023.52,2293.53,1866.59,2828.58,2166.49
MIR192,MIR192,141.823,163.001,459.841,2347.35,2337.23,2560.59,1615.58,2956.56,3508.3,2516.67,427.579,422.178,618.986,344.166,331.367
APOA4,APOA4,89.3045,95.5739,151.816,2430.63,2287.13,3396.11,3545.24,1413.63,4565.21,377.643,20.1424,2456.14,11.3044,3191.29,509.057
RPL39,RPL39,3490.25,3096.54,3034.18,1785.67,2232.03,2175.08,1575.32,1693.67,1503.67,1784.64,1697.02,1768.17,1515.02,2060.08,1604.54
RPS28,RPS28,2344.79,2452.33,1499.97,1694.59,2169.31,2168.02,1460,1547.56,1363.31,1515.35,1126.42,1103.47,1233.79,1688.69,1237.82
LYZ,LYZ,3782.16,3797.71,593.311,6198.23,2138.02,1574.91,1256.92,1260.05,2163.2,79.8783,25.3346,49.732,27.0939,42.6096,57.5348
RPL37A,RPL37A,4265.35,3951.84,3425.37,1846.48,2088.84,2213.8,1591.85,1625.07,1719.09,1855.29,2105.82,1810.19,2179.65,2424.7,1840.32
RPS11,RPS11,2472.46,2590.71,1965.18,1505.04,2050,1845.66,1497.17,1570.99,1458.97,1393.14,1577.1,1589.3,1691.7,1803.96,1548.33
RPL3,RPL3,2667.86,2657.27,2054.09,1488.56,1991.65,2107.9,1409.31,1466.03,1460.35,2016.62,1919,2112.85,1908.34,2422.51,1939.82
TMSB4X,TMSB4X,9809.2,9855.53,8076.29,1963.39,1933.37,2037.35,3416.25,3323.27,3145.03,1127.49,1551.31,1058.34,1660.53,1167.13,1143.28
RPLP0,RPLP0,2269.21,2378.27,1949.25,1315.11,1916.72,1583.35,1211.79,1096.46,1168.7,1646.04,1387.96,1582.31,1471.59,1969.16,1564.79
GAPDH,GAPDH,2137.96,2132.87,2252.45,1435.49,1873.48,1505.23,1285.67,1522.88,1653.09,954.609,849.636,994.414,1019.65,1192.41,871.885
ACTB,ACTB,2505.99,2264.11,1598.52,1752.13,1857.95,1860.92,2330.25,2272.59,2196.35,1276.09,1281.18,1115.89,1347.34,1427.19,992.185
RPS4X,RPS4X,1471.3,1461.8,1348.8,911.881,1847.65,1276.62,947.156,946.267,958.572,1079.17,1655.28,1242.99,1089.85,2064.39,1841.93
RPL21P28,RPL21P28,2127.33,2250.5,1958.33,1027.99,1826.9,1428.47,1345.26,1468.65,1271.23,1092.97,1275.91,1479.26,1306.89,1521.01,1205.71
RPS8,RPS8,2429.75,2555.64,2057,1324.39,1804.51,1676.58,1352.27,1254.18,1174.45,1584.62,1804.99,1903.74,1867.75,2147.58,1867.79
APOA1,APOA1,1300.02,1171.69,227.545,2307.4,1764.58,7642.99,3359.2,1749.21,5411.08,3492.36,438.45,2842.08,271.505,4694.12,3628.76
RPS24,RPS24,2486.82,2518.83,1984.17,1247.18,1758.28,1670.75,1253.17,1411.33,1468.13,1615.34,1752.16,2177.52,1720.67,2435.38,2049.96
CD74,CD74,33.2948,36.4298,14.8022,1779.12,1715.01,2085.95,2825.58,2070.52,2069.5,318.061,183.447,373.217,229.616,541.659,425.285
RPL9,RPL9,2343.69,2318.14,2356.32,1183.55,1701.96,1577.53,1202.22,1371.7,1315.63,1768.51,1914.09,2051.01,1830.3,2240.61,1931.05
RPS25,RPS25,1825.55,1946.87,1797.59,1237.88,1694.51,1435.73,1464.17,1488.35,1379.88,982,1244.62,1300.92,1233.91,1563.99,1242.29
RPS3A,RPS3A,2205.19,2396.99,2385.19,1100.24,1688.06,1576.83,1180.96,1399.47,1303.54,1884.85,2114.29,2357.28,2036.42,2620.56,2392.81
RPL7,RPL7,2261.8,2336.07,2083.32,1100.31,1653.07,1477.84,1184.54,1264.53,1254.75,1731.64,1582.71,1996.67,1653.5,2154.93,1943.63
RPL11,RPL11,2066.74,2336.74,1810.38,1045.19,1608.61,1366.81,1209.28,1396.87,1251.41,1321.76,1420.36,1704.21,1483.67,1825.52,1550.25
RPL7A,RPL7A,2019.15,2144.49,1677.68,1107.86,1603.07,1419.32,1137.02,1146.63,1151.82,1344.7,1352.2,1563.94,1501.07,1866.31,1545.9
RPL31,RPL31,2692.7,2891.26,2550.75,1166.65,1602.55,1494.44,1333.86,1350.7,1300.97,1446.81,1813.09,1742.45,1898.04,2295.2,1841.85
RPS14,RPS14,2184.49,2359.04,2272.57,1049.03,1592.96,1637.54,1049.39,1240.99,1174.02,1473.7,1526.09,1475.44,1561.55,1848.46,1540.32
RPL19,RPL19,1879.35,1904.87,1465.87,1213.75,1581.21,1475.72,1186.29,1291.18,1233.7,1233.08,1067.66,1400.36,1124.1,1813.31,1290.12
RPL26,RPL26,2307.19,2402.8,2098.01,1147.86,1564.86,1489.34,1182.4,1239.68,1149.47,1498.23,1502.89,1871.54,1409.63,2297.85,1752.35
KRT8,KRT8,1405.6,1513.78,1566.71,1299.76,1563.89,1442.82,1443.44,1815.59,1679.92,903.78,695.259,612.668,748.083,832.43,803.992
RPS2,RPS2,2681.84,2592.79,1879.95,1284.35,1560.32,1875.91,1052.09,983.259,974.24,1966.12,1402.5,1999.73,1660.03,2284.67,1804.3
RPS15A,RPS15A,2413.55,2399.73,1951.39,1164.62,1546.48,1414.41,1157.45,1163.6,1071.14,1506.76,1641.2,1987.09,1652.11,2295.86,1736.27
RPS9,RPS9,1893.66,1837.41,1355.88,1099.21,1526.55,1304.2,1174.96,944.613,891.158,1208.91,1048.78,995.111,1059.4,1317.03,1069.63
RPL8,RPL8,2250.39,2091.15,1753.6,1275.04,1509.99,1643.68,1011.06,1167.14,978.925,1390.56,1209.54,1193.16,1325.67,1622.97,1215.65
COX7C,COX7C,1588.94,1534.52,1442.39,1318.14,1492.97,1348.6,1155.51,1361.41,1356.15,683.711,659.1,656.669,674.49,841.917,611.764
